ticker,name,country,category
2802.T,Ajinomoto,Japan,Food ingredients
5285.KL,SD Guthrie,Malaysia,Palm oil
A,"Agilent Technologies, Inc. Common Stock",United States,Broad US equity universe
AA,Alcoa Corporation Common Stock ,United States,Broad US equity universe
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,United States,Broad US equity universe
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,United States,Broad US equity universe
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,United States,Broad US equity universe
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,United States,Broad US equity universe
AADX,"Applied Aerospace & Defense, Inc. Common Stock",United States,Broad US equity universe
AAL,"American Airlines Group, Inc. - Common Stock",United States,Broad US equity universe
AALI.JK,Astra Agro Lestari,Indonesia,Palm oil
AAME,Atlantic American Corporation - Common Stock,United States,Broad US equity universe
AAMI,Acadian Asset Management Inc. Common Stock,United States,Broad US equity universe
AAOI,"Applied Optoelectronics, Inc. - Common Stock",United States,Broad US equity universe
AAON,"AAON, Inc. - Common Stock",United States,Broad US equity universe
AAP,Advance Auto Parts Inc.,United States,Broad US equity universe
AAPG,Ascentage Pharma Group International - American Depository Shares,United States,Broad US equity universe
AAPL,Apple Inc. - Common Stock,United States,Broad US equity universe
AARD,"Aardvark Therapeutics, Inc. - Common Stock",United States,Broad US equity universe
AAT,"American Assets Trust, Inc. Common Stock",United States,Broad US equity universe
AAUC,Allied Gold Corporation Common Shares,United States,Broad US equity universe
ABAT,American Battery Technology Company - Common Stock,United States,Broad US equity universe
ABBV,AbbVie Inc. Common Stock,United States,Broad US equity universe
ABCB,Ameris Bancorp Common Stock,United States,Broad US equity universe
ABCL,AbCellera Biologics Inc. - Common Shares,United States,Broad US equity universe
ABEO,Abeona Therapeutics Inc. - Common Stock,United States,Broad US equity universe
ABG,Asbury Automotive Group Inc Common Stock,United States,Broad US equity universe
ABLV,Able View Global Inc. - Class B Ordinary Shares,United States,Broad US equity universe
ABM,ABM Industries Incorporated Common Stock,United States,Broad US equity universe
ABNB,"Airbnb, Inc. - Class A Common Stock",United States,Broad US equity universe
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",United States,Broad US equity universe
ABR,Arbor Realty Trust Common Stock,United States,Broad US equity universe
ABSI,Absci Corporation - Common Stock,United States,Broad US equity universe
